frame,id_tracking_easy,tipo_objeto_easy,confianza_easy,x1,y1,x2,y2,texto_matricula_easy,id_tracking_tess,tipo_objeto_tess,confianza_tess,texto_matricula_tess,similitud
1416,,matricula,0.4745235741138458,1713,421,1784,445,42252,,matricula,0.4745235741138458,,0.0
1417,,matricula,0.3749105930328369,1704,422,1767,447,1286-zG,,matricula,0.3749105930328369,,0.0
1418,,matricula,0.405294269323349,818,432,902,459,gi2SDC,,matricula,0.405294269323349,FFLOFT,0.0
1418,,matricula,0.301628977060318,1688,424,1753,445,22212,,matricula,0.301628977060318,,0.0
1418,,matricula,0.2740780711174011,1680,423,1742,444,,,matricula,0.2740780711174011,,1.0
1419,,matricula,0.5112144947052002,1675,419,1741,443,L25=r,,matricula,0.5112144947052002,,0.0
1420,,matricula,0.4727758169174194,1661,417,1733,444,4216 Z,,matricula,0.4727758169174194,,0.0
1420,,matricula,0.3033972978591919,771,439,861,464,1sisDT,,matricula,0.3033972978591919,SA,0.0
1421,,matricula,0.4166781902313232,1651,415,1715,442,S2EF3,,matricula,0.4166781902313232,,0.0
1422,,matricula,0.6611308455467224,727,454,820,484,197231?,,matricula,0.6611308455467224,,0.0
1423,,matricula,0.6025054454803467,695,459,792,488,1165s,,matricula,0.6025054454803467,,0.0
1423,,matricula,0.3273481130599975,1630,408,1694,438,45 ;,,matricula,0.3273481130599975,,0.0
1424,,matricula,0.2611555159091949,665,469,763,497,,,matricula,0.2611555159091949,,1.0
1425,,matricula,0.3653253614902496,633,479,746,508,,,matricula,0.3653253614902496,,1.0
1428,,matricula,0.3456574976444244,1571,395,1644,430,8215521,,matricula,0.3456574976444244,,0.0
1428,,matricula,0.3369366526603699,527,511,641,539,,,matricula,0.3369366526603699,,1.0
1428,,matricula,0.3227714896202087,1558,387,1647,435,,,matricula,0.3227714896202087,,1.0
1429,,matricula,0.2800220549106598,487,527,601,559,,,matricula,0.2800220549106598,,1.0
1432,,matricula,0.2879689931869507,285,577,431,612,12,,matricula,0.2879689931869507,,0.0
1457,,matricula,0.5909607410430908,1287,407,1362,440,@053 FFu,,matricula,0.5909607410430908,,0.0
1458,,matricula,0.7679457664489746,1289,412,1371,443,10053 JFL,,matricula,0.7679457664489746,10053TE,0.625
1459,,matricula,0.3592825531959533,1302,413,1373,438,1'00533JFF,,matricula,0.3592825531959533,,0.0
1460,,matricula,0.4354311823844909,1317,418,1386,444,310053 JF1,,matricula,0.4354311823844909,100S3JEUP,0.5263157894736842
1461,,matricula,0.5930089354515076,1326,422,1396,448,52055 5Fv,,matricula,0.5930089354515076,,0.0
1462,,matricula,0.3632758557796478,1332,426,1410,459,0055 Fy_,,matricula,0.3632758557796478,,0.0
1463,,matricula,0.7133896946907043,1336,428,1424,464,153 JFx,,matricula,0.7133896946907043,,0.0
1464,,matricula,0.7167779207229614,1351,429,1446,468,20655 JFy,,matricula,0.7167779207229614,SZE,0.0
1465,,matricula,0.7527552247047424,1362,437,1453,476,@855 7,,matricula,0.7527552247047424,,0.0
1466,,matricula,0.7020225524902344,1379,440,1474,479,62056,,matricula,0.7020225524902344,,0.0
1467,,matricula,0.6826650500297546,1400,448,1493,484,4725,,matricula,0.6826650500297546,,0.0
1468,,matricula,0.7308250665664673,1416,454,1510,495,422571,,matricula,0.7308250665664673,,0.0
1469,,matricula,0.7813394665718079,1434,462,1533,498,,,matricula,0.7813394665718079,,1.0
1470,,matricula,0.870746374130249,1459,466,1561,505,5557,,matricula,0.870746374130249,,0.0
1471,,matricula,0.6504328846931458,1482,477,1585,522,3055 2,,matricula,0.6504328846931458,,0.0
1472,,matricula,0.7413864731788635,1506,484,1619,524,2338,,matricula,0.7413864731788635,,0.0
1473,,matricula,0.7824466228485107,1541,496,1652,539,,,matricula,0.7824466228485107,,1.0
1474,,matricula,0.6575654745101929,1573,503,1692,547,{79,,matricula,0.6575654745101929,,0.0
1475,,matricula,0.7222850918769836,1612,512,1740,568,,,matricula,0.7222850918769836,,1.0
1476,,matricula,0.7140040993690491,1655,526,1787,574,470,,matricula,0.7140040993690491,,0.0
1477,,matricula,0.5798707008361816,1704,547,1848,597,0SSE,,matricula,0.5798707008361816,,0.0
1478,,matricula,0.3363963961601257,1765,558,1917,626,,,matricula,0.3363963961601257,,1.0
1479,,matricula,0.5549649000167847,1841,588,1919,638,,,matricula,0.5549649000167847,,1.0
1563,,matricula,0.3733716607093811,1333,423,1421,457,[9Z8SFx7F,,matricula,0.3733716607093811,,0.0
1565,,matricula,0.4744473695755005,1362,433,1444,462,'J02S5FKZE,,matricula,0.4744473695755005,,0.0
1566,,matricula,0.4503810703754425,1373,442,1452,468,12552777,,matricula,0.4503810703754425,,0.0
1567,,matricula,0.4203957915306091,1392,446,1472,469,40285277,,matricula,0.4203957915306091,,0.0
1567,,matricula,0.2514165341854095,1390,448,1467,477,,,matricula,0.2514165341854095,,1.0
1568,,matricula,0.610971987247467,1396,449,1487,483,102555Z,,matricula,0.610971987247467,,0.0
1568,,matricula,0.3904351890087127,1395,443,1482,492,,,matricula,0.3904351890087127,,1.0
1569,,matricula,0.5116384625434875,1412,453,1509,484,1257127,,matricula,0.5116384625434875,,0.0
1570,,matricula,0.5218945145606995,1427,465,1523,493,8022222,,matricula,0.5218945145606995,,0.0
1571,,matricula,0.6308434009552002,1437,465,1542,495,025522,,matricula,0.6308434009552002,,0.0
1572,,matricula,0.6140309572219849,1471,473,1569,504,02522,,matricula,0.6140309572219849,,0.0
1573,,matricula,0.6820110082626343,1490,479,1590,511,"""22",,matricula,0.6820110082626343,,0.0
1574,,matricula,0.6454010605812073,1515,486,1618,517,58=,,matricula,0.6454010605812073,,0.0
1575,,matricula,0.5058707594871521,1550,498,1643,529,,,matricula,0.5058707594871521,,1.0
1575,,matricula,0.3264639973640442,1541,491,1647,532,,,matricula,0.3264639973640442,TPSI,0.0
1576,,matricula,0.7563437223434448,1575,505,1673,537,,,matricula,0.7563437223434448,,1.0
1577,,matricula,0.7201255559921265,1603,512,1717,548,432,,matricula,0.7201255559921265,,0.0
1578,,matricula,0.7110068202018738,1646,525,1756,560,883,,matricula,0.7110068202018738,,0.0
1578,,matricula,0.3193080127239227,1640,524,1762,574,,,matricula,0.3193080127239227,,1.0
1579,,matricula,0.642357349395752,1680,530,1791,569,,,matricula,0.642357349395752,,1.0
1579,,matricula,0.3141838908195495,1671,528,1799,577,,,matricula,0.3141838908195495,,1.0
1580,,matricula,0.3329124748706817,1719,547,1839,587,,,matricula,0.3329124748706817,,1.0
1581,,matricula,0.3232782781124115,1774,562,1903,601,,,matricula,0.3232782781124115,,1.0
1582,,matricula,0.255459725856781,1802,571,1919,618,,,matricula,0.255459725856781,,1.0
1642,,matricula,0.4660869240760803,836,406,935,437,02F7,,matricula,0.4660869240760803,252779,0.4
1642,,matricula,0.2753667533397674,831,399,943,444,,,matricula,0.2753667533397674,,1.0
1643,,matricula,0.4788082242012024,823,407,907,438,252701,,matricula,0.4788082242012024,7,0.2857142857142857
1643,,matricula,0.324268102645874,813,401,913,440,,,matricula,0.324268102645874,,1.0
1644,,matricula,0.2781385481357574,807,413,892,446,(32fo,,matricula,0.2781385481357574,KS,0.0
1646,,matricula,0.5219763517379761,755,416,859,459,53aft1,,matricula,0.5219763517379761,,0.2222222222222222
1647,,matricula,0.706147313117981,732,427,832,471,5f5),,matricula,0.706147313117981,,0.0
1648,,matricula,0.6189968585968018,710,433,807,467,R2f5,,matricula,0.6189968585968018,,0.0
1649,,matricula,0.6496593356132507,678,436,778,477,E7,,matricula,0.6496593356132507,,0.0
1650,,matricula,0.642817497253418,638,435,756,493,522F5,,matricula,0.642817497253418,,0.0
1651,,matricula,0.5728569626808167,603,447,717,493,22F5,,matricula,0.5728569626808167,,0.0
1651,,matricula,0.3725144267082214,604,436,728,488,=,,matricula,0.3725144267082214,A,0.0
1652,,matricula,0.719264030456543,564,465,686,508,125,,matricula,0.719264030456543,,0.0
1653,,matricula,0.6559008955955505,513,457,642,520,152=,,matricula,0.6559008955955505,,0.0
1654,,matricula,0.4431878328323364,462,481,598,538,17,,matricula,0.4431878328323364,,0.0
1655,,matricula,0.383790373802185,403,477,541,542,,,matricula,0.383790373802185,,1.0
1656,,matricula,0.2669165432453155,332,527,479,573,5,,matricula,0.2669165432453155,,0.0
1657,,matricula,0.4141880571842193,247,552,404,596,,,matricula,0.4141880571842193,,1.0
1670,,matricula,0.2531032562255859,1355,429,1437,464,"113685 KIv2""1f2s++750Zi1_4213",,matricula,0.2531032562255859,,0.0
1671,,matricula,0.5041936635971069,1373,429,1448,465,[3685Kúv,,matricula,0.5041936635971069,,0.0
1672,,matricula,0.3625078201293945,1381,432,1462,467,J368SKux,,matricula,0.3625078201293945,,0.0
1673,,matricula,0.5253612399101257,1385,436,1475,476,13685 KIV_,,matricula,0.5253612399101257,,0.0
1675,,matricula,0.6455057263374329,1408,443,1503,487,[3685X6v,,matricula,0.6455057263374329,,0.0
1676,,matricula,0.7059630155563354,1421,451,1519,488,13685 KIN,,matricula,0.7059630155563354,,0.0
1676,,matricula,0.3796813189983368,1423,443,1517,494,,,matricula,0.3796813189983368,,1.0
1677,,matricula,0.6342294812202454,1437,452,1537,499,[5685Kix,,matricula,0.6342294812202454,,0.0
1678,,matricula,0.6724522709846497,1458,465,1553,501,83685 T7v,,matricula,0.6724522709846497,,0.0
1679,,matricula,0.7400199174880981,1471,466,1573,507,[55Tzk,,matricula,0.7400199174880981,,0.0
1680,,matricula,0.7054625153541565,1494,478,1588,513,{682I2,,matricula,0.7054625153541565,,0.0
1681,,matricula,0.7186751961708069,1499,480,1611,519,[54:,,matricula,0.7186751961708069,,0.0
1682,,matricula,0.6088839173316956,1530,490,1646,534,RS47,,matricula,0.6088839173316956,,0.0
