fotograma,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,matricula_en_su_caso,conf_matricula,mx1,my1,mx2,my2,texto_matricula
49,matricula,0.8733709454536438,49,1856,423,1919,477,True,0.8733709454536438,1856,423,1919,477,PTER
49,matricula,0.5421040058135986,49,765,793,876,826,True,0.5421040058135986,765,793,876,826,7n55275446
50,matricula,0.8539434671401978,50,1857,421,1919,477,True,0.8539434671401978,1857,421,1919,477,PTER
50,matricula,0.4158678352832794,50,760,794,868,827,True,0.4158678352832794,760,794,868,827,7M55275440
50,matricula,0.29775214195251465,50,56,991,199,1032,True,0.29775214195251465,56,991,199,1032,
51,matricula,0.878322422504425,51,1857,420,1919,478,True,0.878322422504425,1857,420,1919,478,PTER
51,matricula,0.3729567229747772,51,750,792,860,830,True,0.3729567229747772,750,792,860,830,"7w55c25,4 16}"
51,matricula,0.2718302607536316,51,56,993,203,1033,True,0.2718302607536316,56,993,203,1033,
52,matricula,0.8760064244270325,52,1856,421,1919,478,True,0.8760064244270325,1856,421,1919,478,PTER
52,matricula,0.5562754273414612,52,741,792,850,826,True,0.5562754273414612,741,792,850,826,'H597*44n
53,matricula,0.8831735253334045,53,1856,422,1919,477,True,0.8831735253334045,1856,422,1919,477,PTER
53,matricula,0.2927262783050537,53,738,795,842,831,True,0.2927262783050537,738,795,842,831,7055275440
53,matricula,0.2532597482204437,53,56,993,202,1034,True,0.2532597482204437,56,993,202,1034,
54,matricula,0.8596154451370239,54,1857,419,1919,477,True,0.8596154451370239,1857,419,1919,477,PETER
54,matricula,0.7013925909996033,54,727,792,832,826,True,0.7013925909996033,727,792,832,826,[755c75449]
55,matricula,0.8870496153831482,55,1857,421,1919,477,True,0.8870496153831482,1857,421,1919,477,FTER
55,matricula,0.43572720885276794,55,721,794,824,828,True,0.43572720885276794,721,794,824,828,7M55r7546/
56,matricula,0.8820906281471252,56,1856,422,1920,479,True,0.8820906281471252,1856,422,1920,479,PETER
56,matricula,0.47484543919563293,56,716,793,822,828,True,0.47484543919563293,716,793,822,828,Y55{79446
57,matricula,0.8810133934020996,57,1855,422,1920,479,True,0.8810133934020996,1855,422,1920,479,PTER
57,matricula,0.3992851972579956,57,710,793,812,827,True,0.3992851972579956,710,793,812,827,N45275446/
58,matricula,0.8585087060928345,58,1856,423,1920,478,True,0.8585087060928345,1856,423,1920,478,PTER
58,matricula,0.8249634504318237,58,1822,857,1920,917,True,0.8249634504318237,1822,857,1920,917,Kaos
58,matricula,0.64966881275177,58,701,791,803,824,True,0.64966881275177,701,791,803,824,M3?{ -C4agi
59,matricula,0.9493257999420166,59,1767,854,1919,911,True,0.9493257999420166,1767,854,1919,911,[oTru
59,matricula,0.7730550765991211,59,1855,422,1920,479,True,0.7730550765991211,1855,422,1920,479,PETER
59,matricula,0.3994676470756531,59,696,792,798,824,True,0.3994676470756531,696,792,798,824,035'2i6
60,matricula,0.9308915138244629,60,1725,851,1920,903,True,0.9308915138244629,1725,851,1920,903,KaoTMHaa9C
60,matricula,0.7832393050193787,60,1855,422,1919,479,True,0.7832393050193787,1855,422,1919,479,PTER
60,matricula,0.7686758637428284,60,692,789,793,824,True,0.7686758637428284,692,789,793,824,055235146'
61,matricula,0.917673647403717,61,1677,846,1884,901,True,0.917673647403717,1677,846,1884,901,7Ao1MM4490
61,matricula,0.6639214754104614,61,1855,421,1920,480,True,0.6639214754104614,1855,421,1920,480,PETER
61,matricula,0.28605470061302185,61,688,793,784,824,True,0.28605470061302185,688,793,784,824,
62,matricula,0.9695861339569092,62,1637,844,1836,897,True,0.9695861339569092,1637,844,1836,897,7ao 7RMaa98
62,matricula,0.5543304681777954,62,1856,420,1920,480,True,0.5543304681777954,1856,420,1920,480,FTER
62,matricula,0.5151597261428833,62,678,793,775,822,True,0.5151597261428833,678,793,775,822,
63,matricula,0.9206693768501282,63,1596,844,1792,894,True,0.9206693768501282,1596,844,1792,894,T407H44098
63,matricula,0.5962997674942017,63,1855,421,1920,480,True,0.5962997674942017,1855,421,1920,480,PTER
63,matricula,0.4693118631839752,63,850,836,905,860,True,0.4693118631839752,850,836,905,860,
64,matricula,0.899553120136261,64,1557,844,1752,892,True,0.899553120136261,1557,844,1752,892,KAo JRNAA90
64,matricula,0.40856271982192993,64,1856,417,1920,481,True,0.40856271982192993,1856,417,1920,481,FTER
64,matricula,0.3203899562358856,64,671,790,765,822,True,0.3203899562358856,671,790,765,822,
65,matricula,0.8296058177947998,65,1522,845,1713,892,True,0.8296058177947998,1522,845,1713,892,7ao THH6a98
65,matricula,0.3887229263782501,65,1856,418,1919,482,True,0.3887229263782501,1856,418,1919,482,PETER
66,matricula,0.8095702528953552,66,1488,843,1675,891,True,0.8095702528953552,1488,843,1675,891,Ka0 7KH0498'
66,matricula,0.42422035336494446,66,1856,418,1920,481,True,0.42422035336494446,1856,418,1920,481,FTER
67,matricula,0.8787521123886108,67,1461,841,1641,888,True,0.8787521123886108,1461,841,1641,888,7ao7RHoa98'_
67,matricula,0.4647039473056793,67,1857,419,1920,480,True,0.4647039473056793,1857,419,1920,480,KTER
